disease,incidence_rate,non_recurrence_mortality,stalled_trials,trials_per_incidence,late_effects_burden_index
Ewing,3.0,30.8,7,2.3333333333333335,10.266666666666667
Osteosarcoma,5.1,40.1,9,1.7647058823529413,7.862745098039216
Wilms,6.2,32.0,3,0.48387096774193544,5.161290322580645
Hodgkin,12.2,58.4,9,0.7377049180327869,4.786885245901639
AML,8.1,35.8,26,3.2098765432098766,4.419753086419753
NHL,11.9,43.5,13,1.0924369747899159,3.6554621848739495
Neuroblastoma,8.5,26.4,29,3.411764705882353,3.105882352941176
STS,12.0,34.0,14,1.1666666666666667,2.8333333333333335
ALL,33.8,28.0,89,2.6331360946745566,0.8284023668639054
CNS,31.3,21.8,86,2.7476038338658144,0.6964856230031949
